Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","HND","Honduras","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","31717.700115","X","Figure from international organizations",""
"MK","Macro Indicators","HND","Honduras","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","35004.8509","E","Estimated value",""
"MK","Macro Indicators","JAM","Jamaica","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","15830.762952","X","Figure from international organizations",""
"MK","Macro Indicators","JAM","Jamaica","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","13812.424962","X","Figure from international organizations",""
"MK","Macro Indicators","JAM","Jamaica","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","14657.583648","X","Figure from international organizations",""
"MK","Macro Indicators","JAM","Jamaica","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","17097.760995","X","Figure from international organizations",""
"MK","Macro Indicators","JAM","Jamaica","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","18295.271827","E","Estimated value",""
"MK","Macro Indicators","MEX","Mexico","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","1305211.113238","X","Figure from international organizations",""
"MK","Macro Indicators","MEX","Mexico","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","1120832.39508","X","Figure from international organizations",""
"MK","Macro Indicators","MEX","Mexico","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","1313069.742396","X","Figure from international organizations",""
"MK","Macro Indicators","MEX","Mexico","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","1463323.889037","X","Figure from international organizations",""
"MK","Macro Indicators","MEX","Mexico","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","1809417.993602","E","Estimated value",""
"MK","Macro Indicators","MSR","Montserrat","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","67.288889","X","Figure from international organizations",""
"MK","Macro Indicators","MSR","Montserrat","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","66.848148","X","Figure from international organizations",""
"MK","Macro Indicators","MSR","Montserrat","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","70.544444","X","Figure from international organizations",""
"MK","Macro Indicators","MSR","Montserrat","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","72.262963","X","Figure from international organizations",""
"MK","Macro Indicators","MSR","Montserrat","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","74.741126","E","Estimated value",""
"MK","Macro Indicators","NIC","Nicaragua","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","12699.023512","X","Figure from international organizations",""
"MK","Macro Indicators","NIC","Nicaragua","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","12678.171779","X","Figure from international organizations",""
"MK","Macro Indicators","NIC","Nicaragua","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","14145.845596","X","Figure from international organizations",""
"MK","Macro Indicators","NIC","Nicaragua","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","15671.567948","X","Figure from international organizations",""
"MK","Macro Indicators","NIC","Nicaragua","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","17249.365592","E","Estimated value",""
"MK","Macro Indicators","PAN","Panama","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","69721.787533","X","Figure from international organizations",""
"MK","Macro Indicators","PAN","Panama","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","57086.836942","X","Figure from international organizations",""
"MK","Macro Indicators","PAN","Panama","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","67406.738052","X","Figure from international organizations",""
"MK","Macro Indicators","PAN","Panama","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","76522.511781","X","Figure from international organizations",""
"MK","Macro Indicators","PAN","Panama","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","82148.510306","E","Estimated value",""
"MK","Macro Indicators","PRY","Paraguay","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","37925.33845","X","Figure from international organizations",""
"MK","Macro Indicators","PRY","Paraguay","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","35432.177967","X","Figure from international organizations",""
"MK","Macro Indicators","PRY","Paraguay","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","39950.899733","X","Figure from international organizations",""
